priority,pr,title,platform,subsystems,approvers,merged_by,reverted_by,verdict,skip_reason,type,merged_at,author,reviewers,labels,additions,deletions,files_in_release,files_total,files_existing,files_new,merge_sha,url
57,#32795,[Bugfix][Attention] Explicitly report support for kv_cache_dtype bfloat16,cpu,"attention, kernels, quantization",ProExpertProg; tlrmchlsmth,ProExpertProg,,CANDIDATE,,platform_specific,2026-01-22,MatthewBonanni,gemini-code-assist; ProExpertProg; MatthewBonanni; tlrmchlsmth,"bug, ready, v1, cpu, nvidia",31,11,12,13,vllm/model_executor/layers/quantization/kv_cache.py | vllm/platforms/cpu.py | vllm/v1/attention/backends/flash_attn.py | vllm/v1/attention/backends/flashinfer.py | vllm/v1/attention/backends/flex_attention.py | vllm/v1/attention/backends/mla/cutlass_mla.py | vllm/v1/attention/backends/mla/flashattn_mla.py | vllm/v1/attention/backends/mla/flashinfer_mla.py | vllm/v1/attention/backends/mla/flashmla.py | vllm/v1/attention/backends/mla/flashmla_sparse.py | vllm/v1/attention/backends/mla/triton_mla.py | vllm/v1/attention/backends/triton_attn.py,vllm/v1/attention/backend.py,955b43a5a5142046bd8a1bd22fd219bf944a6265,https://github.com/vllm-project/vllm/pull/32795
54,#34934,[Bugfix][CI] fix typos,cpu,"api/frontend, attention, config, distributed, engine, kernels, lora, models, quantization, scheduler, worker",hmellor,hmellor,,CANDIDATE,,platform_specific,2026-03-05,1195343015,gemini-code-assist; yewentao256; hmellor,"bug, documentation, performance, rocm, structured-output, frontend, ready, ci/build, v1, multi-modality, qwen, deepseek, cpu, kv-connector, nvidia",227,366,79,98,.buildkite/test-amd.yaml | .pre-commit-config.yaml | benchmarks/kernels/benchmark_2d_silu_mul_fp8_quant.py | csrc/cpu/cpu_attn_amx.hpp | csrc/cpu/torch_bindings.cpp | csrc/moe/moe_align_sum_kernels.cu | csrc/quantization/activation_kernels.cu | csrc/rocm/skinny_gemms.cu | docs/design/cuda_graphs.md | docs/design/fused_moe_modular_kernel.md | docs/design/logits_processors.md | docs/design/plugin_system.md | docs/models/pooling_models.md | examples/online_serving/dashboards/grafana/query_statistics.json | pyproject.toml | tests/compile/test_decorator.py | tests/compile/test_wrapper.py | tests/kernels/attention/test_attention.py | tests/kernels/moe/test_modular_kernel_combinations.py | tests/models/language/generation/test_mistral.py | tests/models/multimodal/generation/vlm_utils/model_utils.py | tests/quantization/test_blackwell_moe.py | tests/test_config.py | tests/tool_parsers/test_seed_oss_tool_parser.py | tests/transformers_utils/test_repo_utils.py | tests/v1/core/test_kv_cache_utils.py | tests/v1/core/test_prefix_caching.py | tests/v1/core/test_priority_scheduler_random.py | tests/v1/core/test_scheduler.py | tests/v1/entrypoints/llm/test_struct_output_generate.py | tests/v1/kv_connector/unit/test_nixl_connector.py | tests/v1/sample/test_logprobs.py | tests/v1/sample/test_rejection_sampler.py | vllm/_custom_ops.py | vllm/config/compilation.py | vllm/config/observability.py | vllm/config/vllm.py | vllm/distributed/eplb/policy/default.py | vllm/distributed/kv_transfer/kv_connector/v1/base.py | vllm/distributed/kv_transfer/kv_connector/v1/lmcache_integration/vllm_v1_adapter.py | vllm/distributed/kv_transfer/kv_connector/v1/offloading_connector.py | vllm/envs.py | vllm/forward_context.py | vllm/lora/layers/row_parallel_linear.py | vllm/lora/lora_model.py | vllm/lora/utils.py | vllm/model_executor/layers/fused_moe/flashinfer_cutlass_moe.py | vllm/model_executor/layers/fused_moe/fused_marlin_moe.py | vllm/model_executor/layers/fused_moe/modular_kernel.py | vllm/model_executor/layers/linear.py | vllm/model_executor/layers/mla.py | vllm/model_executor/layers/quantization/compressed_tensors/compressed_tensors.py | vllm/model_executor/layers/quantization/compressed_tensors/compressed_tensors_moe.py | vllm/model_executor/layers/quantization/cpu_wna16.py | vllm/model_executor/layers/quantization/torchao.py | vllm/model_executor/layers/quantization/utils/fp8_utils.py | vllm/model_executor/layers/quantization/utils/machete_utils.py | vllm/model_executor/layers/rotary_embedding/common.py | vllm/model_executor/models/ernie45_vl_moe.py | vllm/model_executor/models/keye.py | vllm/model_executor/models/longcat_flash.py | vllm/model_executor/models/nemotron_h.py | vllm/model_executor/models/paddleocr_vl.py | vllm/model_executor/models/phi4mm_audio.py | vllm/model_executor/models/phi4mm_utils.py | vllm/model_executor/models/qwen2_vl.py | vllm/model_executor/models/step3_vl.py | vllm/reasoning/ernie45_reasoning_parser.py | vllm/tokenizers/mistral.py | vllm/transformers_utils/processors/ovis2_5.py | vllm/v1/attention/backends/cpu_attn.py | vllm/v1/attention/backends/mamba_attn.py | vllm/v1/attention/backends/mla/flashmla_sparse.py | vllm/v1/attention/backends/rocm_aiter_fa.py | vllm/v1/core/single_type_kv_cache_manager.py | vllm/v1/engine/core.py | vllm/v1/engine/input_processor.py | vllm/v1/kv_offload/worker/cpu_gpu.py | vllm/v1/worker/gpu_model_runner.py,.buildkite/scripts/upload-nightly-wheels.sh | benchmarks/attention_benchmarks/common.py | tests/models/language/pooling/test_bge_m3.py | tests/renderers/test_hf.py | tests/v1/e2e/test_mamba_prefix_cache.py | tests/v1/kv_connector/unit/test_kv_connector_lifecycle.py | tests/v1/kv_connector/unit/test_moriio_connector.py | vllm/distributed/kv_transfer/kv_connector/v1/mooncake/mooncake_connector.py | vllm/entrypoints/openai/responses/serving.py | vllm/model_executor/kernels/linear/mixed_precision/cpu.py | vllm/model_executor/layers/attention/mla_attention.py | vllm/model_executor/models/fireredasr2.py | vllm/model_executor/models/funasr.py | vllm/model_executor/models/isaac.py | vllm/model_executor/models/molmo2.py | vllm/model_executor/models/step3p5.py | vllm/renderers/hf.py | vllm/renderers/inputs/preprocess.py | vllm/renderers/inputs/tokenize.py,6a895197fafa7069be75ff615709b77546bcec30,https://github.com/vllm-project/vllm/pull/34934
50,#35503,[Bugfix] Propagate compilation_time from workers to main process for TP>1,cpu,worker,ProExpertProg; atalman; zou3519,zou3519,,CANDIDATE,,platform_specific,2026-02-28,huydhn,gemini-code-assist; zou3519; ProExpertProg; atalman,"bug, ready, v1, cpu",20,5,4,4,vllm/v1/executor/abstract.py | vllm/v1/worker/cpu_worker.py | vllm/v1/worker/gpu_worker.py | vllm/v1/worker/worker_base.py,,7b346ba8ed546ad274a7905ccfd9f3c0c242226a,https://github.com/vllm-project/vllm/pull/35503
50,#35815,[Bugfix] Fix CPU OMP autobind assertion to use local_world_size,cpu,worker,bigPYJ1151,vllm-bot,,CANDIDATE,,platform_specific,2026-03-09,weiguangli-io,gemini-code-assist; bigPYJ1151,"bug, ready, v1, cpu",3,5,1,1,vllm/v1/worker/cpu_worker.py,,43aa3892314f8336f83a9fbe614899ddcf0e1df8,https://github.com/vllm-project/vllm/pull/35815
50,#36430,[Bugfix] Avoid to replace non-tensor members in cpu model runner,cpu,worker,jikunshang,jikunshang,,CANDIDATE,,platform_specific,2026-03-09,bigPYJ1151,gemini-code-assist; jikunshang,"bug, ready, v1, cpu",3,3,1,1,vllm/v1/worker/cpu_model_runner.py,,217f27598dbf3cc8ec0765cc3a41b667939ce6bb,https://github.com/vllm-project/vllm/pull/36430
50,#37145,[Bugfix] Avoid LD_PRELOAD check on MacOS,cpu,worker,DarkLight1337,vllm-bot,,CANDIDATE,,platform_specific,2026-03-16,bigPYJ1151,gemini-code-assist; DarkLight1337,"bug, v1, cpu",5,3,1,1,vllm/v1/worker/cpu_worker.py,,7362b4450a4cde8b208682c0be6c901d4b5290e6,https://github.com/vllm-project/vllm/pull/37145
50,#37550,[Bugfix] Fix CPU backend crash in KV cache block zeroing,cpu,worker,bigPYJ1151,bigPYJ1151,,CANDIDATE,,platform_specific,2026-03-23,DorBernsohn,gemini-code-assist; bigPYJ1151; DorBernsohn,"bug, ready, v1, cpu",5,0,1,1,vllm/v1/worker/cpu_model_runner.py,,7938d121196d87a710b93e55ce4cefa6a11bedd8,https://github.com/vllm-project/vllm/pull/37550
45,#34321,[Bugfix][CPU] Fix llama4 inference on CPU,cpu,"kernels, worker",jikunshang,bigPYJ1151,,CANDIDATE,,platform_specific,2026-02-11,bigPYJ1151,gemini-code-assist; jikunshang,"bug, ready, v1, llama, cpu",60,18,5,6,.gitignore | csrc/cpu/torch_bindings.cpp | vllm/_custom_ops.py | vllm/model_executor/layers/fused_moe/cpu_fused_moe.py | vllm/v1/worker/cpu_worker.py,csrc/cpu/cpu_fused_moe.cpp,05339a7b207e2f32b56c29398c18d577c74cef3b,https://github.com/vllm-project/vllm/pull/34321
40,#33727,[CPU][BugFix] Allow w8a8 oneDNN quantized matmul to support 3D inputs,cpu,"kernels, quantization",bigPYJ1151,bigPYJ1151,,CANDIDATE,,platform_specific,2026-02-05,fadara01,gemini-code-assist; bigPYJ1151; fadara01,"bug, ready, cpu",3,1,1,1,vllm/model_executor/layers/quantization/kernels/scaled_mm/cpu.py,,fd03538bf97cd7f4fedd6da4584c89635878174f,https://github.com/vllm-project/vllm/pull/33727
31,#35684,[Bug] Fix Failure in /v1/chat/completions/render for Multimodal Requests (https://github.com/vllm-project/vllm/issues/35665),cpu,api/frontend,NickLucche; sagearc,NickLucche,,CANDIDATE,,platform_specific,2026-03-14,sergey-zinchenko,gemini-code-assist; sergey-zinchenko; DarkLight1337; NickLucche; nithinvc; sagearc,"bug, frontend, ready, v1, cpu",559,167,5,13,pyproject.toml | vllm/entrypoints/openai/api_server.py | vllm/entrypoints/serve/disagg/protocol.py | vllm/entrypoints/serve/tokenize/serving.py | vllm/v1/serial_utils.py,tests/entrypoints/openai/cpu/__init__.py | tests/entrypoints/openai/cpu/test_render.py | tests/entrypoints/openai/cpu/test_render_multimodal.py | tests/entrypoints/openai/test_launch_render.py | vllm/entrypoints/openai/engine/protocol.py | vllm/entrypoints/openai/server_utils.py | vllm/entrypoints/serve/render/api_router.py | vllm/entrypoints/serve/render/serving.py,4a718e770d885f38e841d9dccebff3f777b3608d,https://github.com/vllm-project/vllm/pull/35684
30,#30955,[Bugfix][CPU] Fix Mac CPU build,cpu,kernels,DarkLight1337,vllm-bot,,CANDIDATE,,platform_specific,2025-12-18,bigPYJ1151,DarkLight1337,cpu,1,1,1,1,csrc/cpu/utils.cpp,,f90d3636e285a78fbc452f081ea2f55811df1c72,https://github.com/vllm-project/vllm/pull/30955
30,#30871,[CPU][Bugfix] Fix ppc64le CPU build,cpu,kernels,Akashcodes732; bigPYJ1151,bigPYJ1151,,CANDIDATE,,platform_specific,2025-12-19,npanpaliya,gemini-code-assist; Akashcodes732; bigPYJ1151,"ready, cpu",2,0,1,1,csrc/cpu/utils.hpp,,bd2b52fc2dd09b401991835c8a2a6f2ef940b2e4,https://github.com/vllm-project/vllm/pull/30871
30,#31520,[BugFix] Fix NUMA node validation in CPU platform,cpu,,bigPYJ1151,bigPYJ1151,,CANDIDATE,,platform_specific,2025-12-31,SameerAsal,gemini-code-assist; chatgpt-codex-connector; bigPYJ1151,"ready, cpu",1,1,1,1,vllm/platforms/cpu.py,,70e1acefcdecc9923ab90b5162cf90fd835fd749,https://github.com/vllm-project/vllm/pull/31520
30,#31867,[Bugfix] Add CpuCommunicator.dispatch and combine to fix DP+MoE inference,cpu,distributed,bigPYJ1151,bigPYJ1151,,CANDIDATE,,platform_specific,2026-01-15,kzwrime,gemini-code-assist; kzwrime; bigPYJ1151,"bug, ready, cpu",45,1,2,2,vllm/distributed/device_communicators/base_device_communicator.py | vllm/distributed/device_communicators/cpu_communicator.py,,edadca109cf8b41aed3bb9cad11aaca058a6a4d0,https://github.com/vllm-project/vllm/pull/31867
30,#33002,[CPU Backend][BugFix] Fix failing Darwin pipelines,cpu,,bigPYJ1151,bigPYJ1151,,SKIP,only touches tests/docs/CI files,platform_specific,2026-01-24,fadara01,gemini-code-assist; cursor; fadara01; bigPYJ1151,"bug, ready, ci/build, cpu",2,1,1,1,.github/workflows/macos-smoke-test.yml,,17ab54de81521fa3a3f2485c3897750b8ace6dc9,https://github.com/vllm-project/vllm/pull/33002
30,#33317,[Bugfix][CPU] Fix thread num for shared memory communication,cpu,"distributed, kernels",jikunshang,vllm-bot,,CANDIDATE,,platform_specific,2026-01-29,bigPYJ1151,gemini-code-assist; jikunshang,"bug, ready, cpu",25,10,3,3,csrc/cpu/shm.cpp | csrc/cpu/torch_bindings.cpp | vllm/distributed/device_communicators/cpu_communicator.py,,8311f083bd53ac761556f2fb8733e0cf22ef7024,https://github.com/vllm-project/vllm/pull/33317
30,#32942,[Bugfix]: Fix display errors in TORCH_CHECK messages,cpu,kernels,yewentao256,vllm-bot,,CANDIDATE,,platform_specific,2026-01-31,lingebeng,gemini-code-assist; yewentao256,"bug, ready, cpu",8,8,6,6,csrc/cpu/sgl-kernels/gemm.cpp | csrc/cpu/sgl-kernels/gemm_fp8.cpp | csrc/cpu/sgl-kernels/gemm_int8.cpp | csrc/cpu/sgl-kernels/moe.cpp | csrc/cpu/sgl-kernels/moe_int8.cpp | csrc/moe/marlin_moe_wna16/ops.cu,,fedf64332e9940c8119f584a74b9c08bab6852b7,https://github.com/vllm-project/vllm/pull/32942
30,#34696,[Bugfix] fix activation in cpu_fused_moe_torch call,cpu,kernels,fadara01; mgoin,vllm-bot,,CANDIDATE,,platform_specific,2026-02-18,michalowski-arm,gemini-code-assist; fadara01; mgoin,"bug, ready, cpu",1,1,1,1,vllm/model_executor/layers/fused_moe/cpu_fused_moe.py,,e89a91d9275cd8ac086fe04476b41675a9ebbd5c,https://github.com/vllm-project/vllm/pull/34696
30,#35109,"[Bugfix][Frontend] Fix audio transcription for MP4, M4A, and WebM formats",cpu,api/frontend,alex-jw-brooks; NickLucche,vllm-bot,,CANDIDATE,,platform_specific,2026-03-14,seanmamasde,gemini-code-assist; copilot-pull-request-reviewer; NickLucche; seanmamasde; alex-jw-brooks; Isotr0py,"bug, rocm, frontend, ready, ci/build, cpu, nvidia",114,20,1,3,setup.py,vllm/entrypoints/openai/speech_to_text/speech_to_text.py | vllm/entrypoints/openai/speech_to_text/utils.py,84868e479374d6b7b8b162e6bc2a1873e6dec7e2,https://github.com/vllm-project/vllm/pull/35109
30,#37391,[Bugfix] Avoid OpenMP thread reallocation in CPU torch compile,cpu,,jikunshang,jikunshang,,CANDIDATE,,platform_specific,2026-03-18,bigPYJ1151,gemini-code-assist; jikunshang,"bug, ready, cpu",1,0,1,1,vllm/platforms/cpu.py,,261801242f481e344a9816222c3c942cf4fd30cb,https://github.com/vllm-project/vllm/pull/37391
30,#37538,[Bugfix] Avoid more OpenMP thread reallocation in CPU torch compile ,cpu,,jikunshang,jikunshang,,CANDIDATE,,platform_specific,2026-03-19,bigPYJ1151,jikunshang,"bug, ready, cpu",3,0,1,1,vllm/platforms/cpu.py,,3322e26420bc9ea22c5033e9199cd9fb8be5f424,https://github.com/vllm-project/vllm/pull/37538
24,#34514,[CI][BugFix] ShellCheck cleanup to remove baseline and preserve runtime behavior,cpu,,hmellor,hmellor,,CANDIDATE,,platform_specific,2026-02-17,junuxyz,gemini-code-assist; junuxyz; hmellor,"bug, documentation, performance, structured-output, tpu, ready, ci/build, v1, cpu, kv-connector, nvidia",338,464,44,55,.buildkite/image_build/image_build_cpu.sh | .buildkite/image_build/image_build_cpu_arm64.sh | .buildkite/image_build/image_build_hpu.sh | .buildkite/lm-eval-harness/run-lm-eval-chartqa-vllm-vlm-baseline.sh | .buildkite/lm-eval-harness/run-lm-eval-mmlupro-vllm-baseline.sh | .buildkite/performance-benchmarks/scripts/run-performance-benchmarks.sh | .buildkite/scripts/hardware_ci/run-cpu-test-ppc64le.sh | .buildkite/scripts/hardware_ci/run-cpu-test.sh | .buildkite/scripts/hardware_ci/run-hpu-test.sh | .buildkite/scripts/hardware_ci/run-npu-test.sh | .buildkite/scripts/hardware_ci/run-xpu-test.sh | .buildkite/scripts/run-multi-node-test.sh | .buildkite/scripts/run-prime-rl-test.sh | .buildkite/scripts/scheduled_integration_test/deepseek_v2_lite_ep_eplb.sh | .buildkite/scripts/scheduled_integration_test/qwen30b_a3b_fp8_block_ep_eplb.sh | .buildkite/scripts/scheduled_integration_test/qwen3_next_mtp_async_eplb.sh | .buildkite/scripts/tpu/docker_run_bm.sh | .buildkite/scripts/tpu/run_bm.sh | benchmarks/auto_tune/auto_tune.sh | benchmarks/auto_tune/batch_auto_tune.sh | benchmarks/run_structured_output_benchmark.sh | examples/online_serving/disaggregated_encoder/disagg_1e1p1d_example.sh | examples/online_serving/disaggregated_encoder/disagg_1e1pd_example.sh | examples/online_serving/disaggregated_prefill.sh | examples/online_serving/disaggregated_serving/kv_events.sh | examples/online_serving/disaggregated_serving_p2p_nccl_xpyd/disagg_example_p2p_nccl_xpyd.sh | examples/online_serving/elastic_ep/bench.sh | examples/online_serving/elastic_ep/serve_deepseek_v2.sh | examples/online_serving/multi-node-serving.sh | examples/others/lmcache/disagg_prefill_lmcache_v1/disagg_example_nixl.sh | examples/others/lmcache/disagg_prefill_lmcache_v1/disagg_vllm_launcher.sh | examples/pooling/embed/openai_embedding_long_text/service.sh | tests/standalone_tests/python_only_compile.sh | tests/v1/ec_connector/integration/run_epd_correctness_test.sh | tests/v1/kv_connector/nixl_integration/run_accuracy_test.sh | tests/v1/kv_connector/nixl_integration/run_edge_case_test.sh | tests/v1/kv_connector/nixl_integration/run_tpu_disagg_accuracy_test.sh | tests/v1/kv_connector/nixl_integration/run_tpu_edge_case_test.sh | tools/ep_kernels/elastic_ep/install_eep_libraries.sh | tools/ep_kernels/install_python_libraries.sh | tools/flashinfer-build.sh | tools/install_deepgemm.sh | tools/pre_commit/shellcheck.sh | tools/vllm-tpu/build.sh,.buildkite/scripts/annotate-rocm-release.sh | .buildkite/scripts/cache-rocm-base-wheels.sh | .buildkite/scripts/cherry-pick-from-milestone.sh | .buildkite/scripts/push-nightly-builds.sh | .buildkite/scripts/upload-nightly-wheels.sh | .buildkite/scripts/upload-release-wheels-pypi.sh | .buildkite/scripts/upload-rocm-wheels.sh | examples/online_serving/disaggregated_serving/mooncake_connector/run_mooncake_connector.sh | tests/v1/kv_connector/nixl_integration/config_sweep_accuracy_test.sh | tools/pre_commit/shellcheck.baseline | tools/vllm-rocm/generate-rocm-wheels-root-index.sh,c61a98f52993550e42d1bded121341fb9afb2ddf,https://github.com/vllm-project/vllm/pull/34514
15,#32777,[Bugfix] Fix _CPU_MOE_ACT AssertionError when vLLM config not set,cpu,kernels,bigPYJ1151,bigPYJ1151,,CANDIDATE,,platform_specific,2026-01-23,karanb192,gemini-code-assist; bigPYJ1151,"bug, ready, cpu",26,26,1,2,vllm/model_executor/layers/fused_moe/cpu_fused_moe.py,tests/kernels/moe/test_cpu_fused_moe.py,fa6e599a618bba1e7edd3f6bcd708123fd625436,https://github.com/vllm-project/vllm/pull/32777
15,#35754,[Bugfix] Avoid src/dst as None in irecv/isend_tensor_dict,cpu,distributed,yewentao256,vllm-bot,,CANDIDATE,,platform_specific,2026-03-03,bigPYJ1151,gemini-code-assist; yewentao256; bigPYJ1151,"bug, ready, ci/build, cpu",30,12,1,2,vllm/distributed/parallel_state.py,.buildkite/scripts/hardware_ci/run-cpu-distributed-smoke-test.sh,440f0e7dc6cb0adfc9c3c98076939668b90c4bf2,https://github.com/vllm-project/vllm/pull/35754
10,#35895,[Bugfix] Fix minimax_m2 tool parser when stream interval > 1,cpu,,chaunceyjiang,chaunceyjiang,,CANDIDATE,,platform_specific,2026-03-12,sfeng33,gemini-code-assist; sfeng33; chaunceyjiang,"bug, documentation, performance, new-model, rocm, structured-output, frontend, speculative-decoding, ready, ci/build, v1, multi-modality, tool-calling, llama, qwen, deepseek, cpu, gpt-oss, kv-connector, nvidia",534,532,1,3,vllm/tool_parsers/minimax_m2_tool_parser.py,tests/tool_parsers/test_minimax_m2_tool_parser.py | tests/tool_use/test_minimax_m2_tool_parser.py,8647c6cf510bbb0c22fe0820681b993e33406e32,https://github.com/vllm-project/vllm/pull/35895
7,#36728,"[Bug][MoE] Strengthen _supports_current_device() checks in the TRTLLM FP8, NVFP4, and FlashInfer CuteDSL MoE experts",cpu,kernels,bnellnm; robertgshaw2-redhat; yewentao256,yewentao256,,CANDIDATE,,platform_specific,2026-03-23,yzong-rh,gemini-code-assist; yzong-rh; bnellnm; robertgshaw2-redhat; yewentao256,"bug, documentation, rocm, frontend, ready, ci/build, v1, multi-modality, tool-calling, llama, qwen, cpu, nvidia",19,5,1,4,vllm/utils/flashinfer.py,vllm/model_executor/layers/fused_moe/experts/flashinfer_cutedsl_moe.py | vllm/model_executor/layers/fused_moe/experts/trtllm_fp8_moe.py | vllm/model_executor/layers/fused_moe/experts/trtllm_nvfp4_moe.py,e85f8f0932f65c17d64c9bb8e85a57bb007b369d,https://github.com/vllm-project/vllm/pull/36728
